:ID,name,feature,definition,:LABEL
38,查找表,,,dots
39,二分法,,,dots
40,树的建立,,,dots
41,树的删除,,,dots
42,树的遍历,,,dots
43,树的旋转,,,dots
44,二叉排序树,,,dots
45,B-树,,,dots
46,映射,,,dots
47,顺序查找,,,dots
48,桶,,,dots
49,排序,,,dots
50,插入排序,,,dots
51,归并,,,dots
52,分治,,,dots
398,数组,结构固定，定义后，维数和维界不再改变。,按照一定格式排列起来的具有相同类型的数据元素的集合,dots
400,链表,链表上逻辑上相连的元素之间物理地址上不一定相连,链表是一种物理存储结构上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的。,dots
453,数组,结构固定，定义后，维数和维界不再改变,按照一定格式排列起来的具有相同类型的数据元素的集合,dots
458,链表,链表上逻辑上相连的元素之间物理地址上不一定相连。,链表是一种物理存储结构上非连续、非顺序的存储结构，数据元素的逻辑顺序是通过链表中的指针链接次序实现的。,dots
